,HW,L4
,MC,MC
Date,UG/M3,UG/M3
1/1/2004 0:00,-1.6,
1/1/2004 1:00,-2,
1/1/2004 2:00,-0.8,
1/1/2004 3:00,-2.3,
1/1/2004 4:00,-2.2,
1/1/2004 5:00,-0.3,
1/1/2004 6:00,2.7,
1/1/2004 7:00,0.4,
1/1/2004 8:00,0,
1/1/2004 9:00,2.3,
1/1/2004 10:00,0.9,
1/1/2004 11:00,0.1,
1/1/2004 12:00,-1.7,
1/1/2004 13:00,-0.1,
1/1/2004 14:00,-1,
1/1/2004 15:00,-2.3,
1/1/2004 16:00,1.7,
1/1/2004 17:00,-2.8,
1/1/2004 18:00,0.4,
1/1/2004 19:00,2.3,
1/1/2004 20:00,-1.3,
1/1/2004 21:00,,
1/1/2004 22:00,-2.2,
1/1/2004 23:00,3.1,
1/2/2004 0:00,-1.4,
1/2/2004 1:00,3.7,
1/2/2004 2:00,2.2,
1/2/2004 3:00,-1.6,
1/2/2004 4:00,0.1,
1/2/2004 5:00,3.5,
1/2/2004 6:00,2.9,
1/2/2004 7:00,-4.2,
1/2/2004 8:00,-0.6,
1/2/2004 9:00,0.3,
1/2/2004 10:00,-1.4,
1/2/2004 11:00,-2.6,
1/2/2004 12:00,-1.1,
1/2/2004 13:00,1.8,
1/2/2004 14:00,-0.3,
1/2/2004 15:00,-0.4,
1/2/2004 16:00,-0.4,
1/2/2004 17:00,-0.3,
1/2/2004 18:00,-0.2,
1/2/2004 19:00,-2.3,
1/2/2004 20:00,-0.6,
1/2/2004 21:00,1.2,
1/2/2004 22:00,-2.1,
1/2/2004 23:00,4.9,
1/3/2004 0:00,-2.2,
1/3/2004 1:00,-0.9,
1/3/2004 2:00,1.3,
1/3/2004 3:00,-2,
1/3/2004 4:00,-0.4,
1/3/2004 5:00,0.1,
1/3/2004 6:00,0.7,
1/3/2004 7:00,0.4,
1/3/2004 8:00,0.2,
1/3/2004 9:00,-0.6,
1/3/2004 10:00,0.7,
1/3/2004 11:00,0.9,
1/3/2004 12:00,-1.2,
1/3/2004 13:00,-0.3,
1/3/2004 14:00,-2.4,
1/3/2004 15:00,1.4,
1/3/2004 16:00,0.7,
1/3/2004 17:00,0.6,
1/3/2004 18:00,-0.7,
1/3/2004 19:00,-0.7,
1/3/2004 20:00,-0.6,
1/3/2004 21:00,0.4,
1/3/2004 22:00,0.3,
1/3/2004 23:00,1.3,
1/4/2004 0:00,0.1,
1/4/2004 1:00,0.2,
1/4/2004 2:00,-0.2,
1/4/2004 3:00,-5.5,
1/4/2004 4:00,-7,
1/4/2004 5:00,-1,
1/4/2004 6:00,-0.6,
1/4/2004 7:00,-0.5,
1/4/2004 8:00,0.4,
1/4/2004 9:00,-0.9,
1/4/2004 10:00,3.3,
1/4/2004 11:00,-2,
1/4/2004 12:00,-2.5,
1/4/2004 13:00,-1.7,
1/4/2004 14:00,0.2,
1/4/2004 15:00,-1.8,
1/4/2004 16:00,-0.2,
1/4/2004 17:00,0.7,
1/4/2004 18:00,-1.3,
1/4/2004 19:00,-0.8,
1/4/2004 20:00,-0.9,
1/4/2004 21:00,0.4,
1/4/2004 22:00,-2.3,
1/4/2004 23:00,-0.6,
1/5/2004 0:00,0.3,
1/5/2004 1:00,0.8,
1/5/2004 2:00,0.8,
1/5/2004 3:00,-2.5,
1/5/2004 4:00,-1.5,
1/5/2004 5:00,1.7,
1/5/2004 6:00,0.1,
1/5/2004 7:00,3,
1/5/2004 8:00,-2.2,
1/5/2004 9:00,1.2,
1/5/2004 10:00,-1.1,
1/5/2004 11:00,1.2,
1/5/2004 12:00,-0.8,
1/5/2004 13:00,1.2,
1/5/2004 14:00,-0.6,
1/5/2004 15:00,-2.1,
1/5/2004 16:00,-0.6,
1/5/2004 17:00,-0.3,
1/5/2004 18:00,0.3,
1/5/2004 19:00,-0.1,
1/5/2004 20:00,-4,
1/5/2004 21:00,1.2,
1/5/2004 22:00,1.5,
1/5/2004 23:00,-5.5,
1/6/2004 0:00,-2.8,
1/6/2004 1:00,3.9,
1/6/2004 2:00,-1.2,
1/6/2004 3:00,1.8,
1/6/2004 4:00,-2,
1/6/2004 5:00,0.7,
1/6/2004 6:00,1.8,
1/6/2004 7:00,-3.5,
1/6/2004 8:00,4.3,
1/6/2004 9:00,-8.5,
1/6/2004 10:00,-5,
1/6/2004 11:00,-0.9,
1/6/2004 12:00,-0.7,
1/6/2004 13:00,-0.1,
1/6/2004 14:00,-0.1,
1/6/2004 15:00,0,
1/6/2004 16:00,-0.4,
1/6/2004 17:00,-3.1,
1/6/2004 18:00,-4.5,
1/6/2004 19:00,-0.2,
1/6/2004 20:00,-0.9,
1/6/2004 21:00,4.1,
1/6/2004 22:00,-0.2,
1/6/2004 23:00,-0.2,
1/7/2004 0:00,-0.1,
1/7/2004 1:00,2.2,
1/7/2004 2:00,-0.1,
1/7/2004 3:00,-1.2,
1/7/2004 4:00,0.7,
1/7/2004 5:00,-1.1,
1/7/2004 6:00,1.2,
1/7/2004 7:00,0.7,
1/7/2004 8:00,0.1,
1/7/2004 9:00,-3,
1/7/2004 10:00,-1.4,
1/7/2004 11:00,-1.3,
1/7/2004 12:00,-1.2,
1/7/2004 13:00,1.1,
1/7/2004 14:00,2.2,
1/7/2004 15:00,-1.3,
1/7/2004 16:00,-4,
1/7/2004 17:00,-2.4,
1/7/2004 18:00,1.9,
1/7/2004 19:00,-0.6,
1/7/2004 20:00,-2.5,
1/7/2004 21:00,-0.1,
1/7/2004 22:00,1.6,
1/7/2004 23:00,1.6,
1/8/2004 0:00,-1.6,
1/8/2004 1:00,1.8,
1/8/2004 2:00,0.9,
1/8/2004 3:00,-0.9,
1/8/2004 4:00,-3.8,
1/8/2004 5:00,0.1,
1/8/2004 6:00,0.5,
1/8/2004 7:00,1.5,
1/8/2004 8:00,-0.9,
1/8/2004 9:00,0,
1/8/2004 10:00,-0.1,
1/8/2004 11:00,0.1,
1/8/2004 12:00,1.4,
1/8/2004 13:00,2.1,
1/8/2004 14:00,-0.8,
1/8/2004 15:00,-3.7,
1/8/2004 16:00,0.7,
1/8/2004 17:00,0.6,
1/8/2004 18:00,-1,
1/8/2004 19:00,0.6,
1/8/2004 20:00,1.5,
1/8/2004 21:00,-1.6,
1/8/2004 22:00,0.7,
1/8/2004 23:00,-1.2,
1/9/2004 0:00,0.3,
1/9/2004 1:00,1.3,
1/9/2004 2:00,-1.3,
1/9/2004 3:00,-1.1,
1/9/2004 4:00,-1.8,
